City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,howrah,22.5892,88.3103,28.0,94,75,2.57,IN,1689885394
83,ilulissat,69.2167,-51.1,8.01,93,75,3.6,GL,1689885395
84,happy valley-goose bay,53.3168,-60.3315,24.17,43,75,6.69,CA,1689885101
85,karacabey,40.2152,28.4038,28.21,63,56,0.71,TR,1689885395
86,severo-yeniseyskiy,60.3725,93.0408,13.73,61,0,1.79,RU,1689884922
87,toba,34.4833,136.85,26.0,82,86,0.65,JP,1689885395
88,lihue,21.9789,-159.3672,27.77,70,100,9.26,US,1689885395
89,keflavik,64.0049,-22.5624,12.24,87,75,2.57,IS,1689885395
90,college,64.8569,-147.8028,19.18,90,100,1.54,US,1689885395
91,punta arenas,-53.15,-70.9167,1.15,69,100,7.49,CL,1689885395
92,jamestown,42.097,-79.2353,26.8,57,75,3.09,US,1689885395
93,kingston,17.997,-76.7936,30.53,74,40,7.2,JM,1689884985
94,invercargill,-46.4,168.35,0.01,99,6,0.89,NZ,1689885111
95,georgetown,5.4112,100.3354,27.97,85,40,2.24,MY,1689885396
96,colonia,50.9333,6.95,21.08,59,0,2.06,DE,1689885110
97,sandnessjoen,66.0217,12.6316,14.29,76,75,1.54,NO,1689885396
98,vorgashor,67.5833,63.95,17.68,80,54,2.75,RU,1689885108
99,fort bragg,35.139,-79.006,33.91,53,100,3.09,US,1689885396
100,kyaikkami,16.08,97.5675,25.63,87,100,2.82,MM,1689885185
101,pailon,-17.65,-62.75,28.5,36,0,4.41,BO,1689885396
102,saint-louis,16.3333,-15.0,29.91,53,100,6.07,SN,1689885396
103,san andres,12.5847,-81.7006,31.01,79,20,6.69,CO,1689885397
104,portland,45.5234,-122.6762,30.32,46,20,2.06,US,1689885128
105,constantia,44.1833,28.65,21.5,83,87,3.26,RO,1689885369
106,nova sintra,14.8667,-24.7167,24.06,77,29,2.91,CV,1689885397
107,kone,-21.0595,164.8658,17.94,71,8,1.71,NC,1689885398
108,toliara,-23.35,43.6667,19.29,83,12,5.59,MG,1689885398
109,emerald,-23.5333,148.1667,15.19,76,0,1.93,AU,1689885104
110,badger,64.8,-147.5333,19.14,89,100,1.54,US,1689885398
111,brisas de zicatela,15.8369,-97.0419,33.29,58,20,5.14,MX,1689885398
112,huarmey,-10.0681,-78.1522,22.63,69,12,5.05,PE,1689885398
113,novodvinsk,64.4165,40.8122,15.68,97,65,3.93,RU,1689885256
